case,run,VB,time,DOC,feed,material,cut_no,tool_class,window_start,window_end
4,5,0.38,26,1.50,0.25,1,49,1,4160,8960
4,6,0.40,27,1.50,0.25,1,50,1,4160,8960
4,5,0.43,30,1.50,0.25,1,51,1,4160,8960
9,6,0.28,28,1.50,0.50,1,57,1,2496,6720
9,6,0.39,30,1.50,0.50,1,57,1,2496,6720
9,7,0.49,34,1.50,0.50,1,58,1,2496,6720
9,6,0.58,35,1.50,0.50,1,58,1,2496,6720
10,5,0.24,19,1.50,0.25,1,63,1,4160,8960
10,6,0.38,27,1.50,0.25,1,66,1,4160,8960
10,7,0.43,35,1.50,0.25,1,67,1,4160,8960
10,7,0.46,35,1.50,0.25,1,67,1,4160,8960
10,9,0.48,44,1.50,0.25,1,68,1,4160,8960
11,11,0.20,39,0.75,0.25,1,81,1,4160,8960
10,12,0.23,45,1.12,0.25,1,80,1,4160,8960
11,13,0.26,50,0.75,0.25,1,83,1,4160,8960
2,10,,22,0.77,0.40,1,40,1,3831,8349
11,13,0.29,57,0.75,0.25,1,85,1,4160,8960
11,15,0.34,58,0.75,0.25,1,86,1,4160,8960
3,13,,65,1.36,0.40,1,73,1,2537,7320
11,18,0.42,72,0.75,0.25,1,88,1,4160,8960
11,19,0.49,81,0.75,0.25,1,89,1,4160,8960
11,20,0.57,84,0.75,0.25,1,90,1,4160,8960
11,20,0.66,93,0.75,0.25,1,91,1,4160,8960
11,21,0.66,97,0.75,0.25,1,92,1,4160,8960
10,7,0.23,30,0.79,0.50,1,97,1,2496,6720
12,12,0.49,36,0.75,0.50,1,103,1,2496,6720
12,11,0.39,40,0.75,0.50,1,102,1,2496,6720
9,10,,32,1.34,0.50,1,100,1,2496,6816
12,10,0.40,49,0.75,0.50,1,107,1,2496,6464
12,11,0.45,51,0.75,0.50,1,105,1,2496,4919
12,13,0.49,61,0.75,0.50,1,106,1,2496,6720
12,14,0.51,64,0.75,0.50,1,106,1,2496,6720
12,13,0.46,64,0.75,0.50,1,106,1,2496,6464
5,5,0.38,6,1.50,0.50,2,111,1,2496,6976
5,4,0.39,7,1.50,0.50,2,112,1,2496,6976
5,5,0.53,9,1.50,0.50,2,113,1,2496,6976
8,4,0.27,16,0.75,0.25,2,121,1,4160,8960
7,7,0.30,20,0.75,0.25,1,120,1,4480,8960
7,6,0.40,15,0.75,0.25,2,123,1,4160,8960
7,6,0.42,19,0.75,0.25,2,123,1,4160,8960
3,7,,20,0.97,0.47,1,9,1,2765,7582
8,3,0.37,8,0.75,0.50,2,126,1,2496,6720
8,4,,8,0.99,0.50,1,29,1,2496,6759
8,5,0.45,9,0.75,0.50,2,128,1,2496,6720
8,6,0.54,12,0.75,0.50,2,129,1,2496,6720
13,7,0.38,18,0.75,0.25,2,135,1,4160,8960
13,7,0.34,18,0.75,0.25,2,136,1,4160,8960
13,9,0.49,24,0.75,0.25,2,137,1,4160,8960
13,9,0.55,25,0.75,0.25,2,137,1,4160,8960
13,10,0.62,27,0.75,0.25,2,138,1,4160,8960
14,5,0.51,9,1.18,0.50,2,149,1,2496,6720
8,9,,22,1.14,0.50,2,60,1,2496,6734
14,7,0.35,14,0.75,0.50,2,150,1,2496,6464
14,8,0.58,16,0.75,0.50,2,151,1,2496,6464
15,3,0.37,6,1.50,0.25,2,156,1,4160,8960
15,4,0.37,8,1.50,0.25,2,157,1,4160,8960
15,5,0.33,13,1.36,0.25,2,158,1,4160,8960
9,6,0.33,21,0.77,0.25,2,136,1,4480,8960
16,3,0.24,4,1.50,0.50,2,163,1,2496,6720
3,6,,6,1.50,0.50,2,137,1,2496,6973
16,4,0.24,5,1.50,0.50,2,164,1,2496,6720
16,5,0.54,9,1.50,0.50,2,166,1,2496,6720
1,7,0.23,19,1.50,0.50,1,6,1,2496,6976
1,10,0.33,29,1.50,0.50,1,7,1,2496,6976
1,8,0.29,22,1.50,0.50,1,7,1,2496,6976
1,7,0.27,23,1.50,0.50,1,6,1,2496,6976
1,12,0.42,31,1.50,0.50,1,9,1,2496,6976
1,11,0.36,31,1.50,0.50,1,9,1,2496,6976
1,13,0.42,37,1.50,0.50,1,12,1,2496,6976
1,13,0.41,36,1.50,0.50,1,12,1,2496,6976
1,14,0.45,44,1.50,0.50,1,13,1,2496,6976
1,14,0.48,39,1.50,0.50,1,13,1,2496,6976
1,12,,31,1.50,0.50,1,9,1,2496,6976
1,13,0.40,50,1.04,0.50,1,22,1,2496,6976
2,9,0.27,38,0.75,0.50,1,25,1,2496,6976
2,10,0.28,39,0.75,0.50,1,25,1,2496,6976
2,9,0.32,55,0.75,0.36,1,33,1,3520,8421
1,14,0.48,47,1.32,0.50,1,24,1,2496,6976
2,13,0.43,62,0.75,0.50,1,29,1,2496,6976
1,14,0.48,46,0.95,0.50,1,24,1,2496,6976
2,11,0.37,56,0.75,0.50,1,26,1,3520,8000
3,8,0.22,39,0.75,0.25,1,37,1,3520,8960
3,8,0.22,38,0.75,0.25,1,37,1,3520,8960
3,13,0.30,67,0.75,0.25,1,38,1,4480,8960
3,9,0.24,50,0.75,0.25,1,38,1,3520,8960
3,11,0.28,57,0.75,0.25,1,40,1,4160,8960
3,12,0.33,62,0.75,0.25,1,41,1,4160,8960
6,14,0.40,48,0.75,0.25,1,101,1,4480,8960
3,15,0.52,74,0.75,0.25,1,43,1,4480,8960
3,16,0.46,70,0.75,0.25,1,44,1,4480,8960
10,4,0.22,19,1.50,0.25,1,63,1,4160,8960
4,4,0.35,22,1.50,0.25,1,49,1,4160,8960
4,4,0.32,23,1.50,0.25,1,49,1,4160,8960
10,6,0.41,33,1.50,0.25,1,62,1,4160,8960
4,5,0.35,25,1.50,0.25,1,50,1,4160,8960
12,7,0.21,29,0.87,0.50,1,91,1,2496,6720
10,7,0.28,29,0.87,0.50,1,88,1,2496,6720
9,6,0.42,34,1.50,0.50,1,57,1,2496,6720
9,7,0.45,32,1.50,0.50,1,58,1,2496,6720
5,5,0.27,22,1.50,0.25,1,53,1,4160,8960
10,7,0.42,34,1.50,0.25,1,67,1,4160,8960
10,7,0.39,26,1.50,0.25,1,67,1,4160,8960
10,7,0.43,27,1.50,0.25,1,67,1,4160,8960
10,11,0.30,45,1.15,0.25,1,79,1,4160,8960
11,11,0.20,39,0.75,0.25,1,81,1,4160,8960
11,13,0.26,50,0.75,0.25,1,83,1,4160,8960
11,12,0.20,40,0.75,0.25,1,82,1,4160,8960
1,8,,20,1.39,0.42,1,22,1,3233,7979
11,12,0.25,53,0.75,0.25,1,84,1,4160,8960
11,17,0.40,75,0.75,0.25,1,87,1,4160,8960
2,6,,49,1.41,0.50,1,25,1,2524,7108
11,18,0.42,72,0.75,0.25,1,88,1,4160,8960
11,20,0.56,84,0.75,0.25,1,90,1,4160,8960
11,20,0.58,93,0.75,0.25,1,91,1,4160,8960
11,19,0.58,88,0.75,0.25,1,91,1,4160,8960
11,20,0.59,89,0.75,0.25,1,91,1,4160,8960
12,8,0.29,29,0.75,0.50,1,102,1,2496,6720
12,11,0.34,37,0.75,0.50,1,103,1,2496,6720
12,9,0.36,43,0.75,0.50,1,102,1,2496,6720
4,9,,32,1.46,0.50,1,10,1,2496,6915
12,10,0.39,48,0.75,0.50,1,103,1,2496,6680
12,12,0.43,52,0.75,0.50,1,105,1,2496,6082
12,11,0.39,53,0.75,0.50,1,103,1,2496,6720
12,13,0.50,62,0.75,0.50,1,106,1,2496,6720
12,12,0.38,56,0.75,0.50,1,105,1,2496,6464
5,5,0.33,10,1.50,0.50,1,103,1,2496,6976
4,6,0.33,18,1.15,0.50,1,102,1,2496,6976
5,4,0.45,7,1.50,0.50,2,112,1,2496,6976
9,4,0.41,18,0.75,0.25,2,127,1,4160,8960
7,8,0.30,30,0.75,0.25,1,114,1,4480,8960
9,5,0.40,17,0.75,0.25,2,127,1,4160,8960
10,6,0.34,18,0.75,0.25,2,127,1,4160,8960
1,6,,17,1.10,0.49,1,6,1,2577,7373
11,3,0.29,9,0.75,0.50,2,127,1,2496,6720
3,7,,16,1.30,0.50,1,25,1,2496,6849
8,5,0.37,9,0.75,0.50,2,127,1,2496,6720
8,5,0.46,10,0.75,0.50,2,128,1,2496,6720
13,8,0.42,18,0.75,0.25,2,135,1,4160,8960
10,7,0.39,19,0.75,0.25,2,134,1,4160,8960
13,10,0.56,27,0.75,0.25,2,137,1,4160,8960
13,9,0.50,25,0.75,0.25,2,137,1,4160,8960
13,9,0.53,24,0.75,0.25,2,137,1,4160,8960
14,5,0.53,9,1.00,0.50,2,153,1,2496,6720
2,9,,25,1.38,0.50,1,17,1,2496,6830
12,9,0.37,50,0.75,0.50,1,126,1,2496,6464
14,8,0.50,14,0.75,0.50,2,150,1,2496,6464
15,4,0.44,11,1.50,0.25,2,157,1,4160,8960
14,4,0.31,13,1.29,0.25,2,157,1,4160,8960
15,5,0.33,11,1.50,0.25,2,158,1,4160,8960
7,8,0.33,45,0.76,0.25,2,99,1,4480,8960
16,4,0.37,6,1.50,0.50,2,165,1,2496,6720
2,6,,13,1.50,0.50,1,19,1,2496,6973
8,6,0.51,12,1.15,0.50,2,137,1,2496,6720
16,4,0.44,8,1.50,0.50,2,165,1,2496,6720
1,6,0.20,17,1.50,0.50,1,5,1,2496,6976
1,7,0.26,23,1.50,0.50,1,7,1,2496,6976
1,7,0.28,22,1.50,0.50,1,7,1,2496,6976
1,8,0.27,24,1.50,0.50,1,6,1,2496,6976
1,11,0.38,31,1.50,0.50,1,9,1,2496,6976
1,11,0.41,32,1.50,0.50,1,9,1,2496,6976
1,13,0.41,37,1.50,0.50,1,12,1,2496,6976
1,14,0.47,39,1.50,0.50,1,13,1,2496,6976
1,15,0.45,45,1.50,0.50,1,14,1,2496,6976
1,16,0.46,47,1.50,0.50,1,15,1,2496,6976
1,9,,23,1.50,0.50,1,8,1,2496,6976
1,16,0.45,45,1.50,0.50,1,14,1,2496,6976
2,8,0.26,38,0.75,0.50,1,25,1,2496,6976
2,9,0.26,37,0.75,0.50,1,25,1,2496,6976
3,9,0.30,41,0.75,0.34,1,35,1,3520,8432
2,13,0.43,58,0.75,0.50,1,28,1,2496,6976
2,13,0.43,60,0.75,0.50,1,29,1,2496,6976
1,14,0.48,50,1.20,0.50,1,26,1,2496,6976
2,13,0.54,63,0.75,0.50,1,27,1,3520,8000
3,7,0.22,37,0.75,0.25,1,37,1,3520,8960
3,8,0.23,39,0.75,0.25,1,38,1,3520,8960
3,13,0.29,66,0.75,0.25,1,39,1,4480,8960
3,10,0.23,49,0.75,0.25,1,38,1,3520,8960
3,12,0.32,61,0.75,0.25,1,41,1,4160,8960
3,12,0.32,61,0.75,0.25,1,41,1,4160,8960
3,14,0.37,69,0.75,0.25,1,43,1,4480,8960
3,15,0.37,71,0.75,0.25,1,43,1,4480,8960
3,16,0.54,74,0.75,0.25,1,44,1,4480,8960
5,4,0.31,19,1.50,0.25,1,49,1,4160,8960
4,4,0.33,22,1.50,0.25,1,49,1,4160,8960
4,5,0.34,25,1.50,0.25,1,49,1,4160,8960
4,6,0.36,23,1.50,0.25,1,49,1,4160,8960
4,5,0.35,26,1.50,0.25,1,51,1,4160,8960
9,7,0.44,29,1.50,0.50,1,58,1,2496,6720
9,5,0.38,27,1.50,0.50,1,57,1,2496,6720
9,7,0.44,34,1.50,0.50,1,58,1,2496,6720
9,6,0.48,34,1.50,0.50,1,58,1,2496,6720
10,6,0.30,26,1.50,0.25,1,66,1,4160,8960
10,6,0.39,28,1.50,0.25,1,66,1,4160,8960
10,7,0.38,27,1.50,0.25,1,66,1,4160,8960
10,8,0.45,44,1.50,0.25,1,67,1,4160,8960
10,7,0.42,43,1.50,0.25,1,66,1,4160,8960
11,11,0.20,40,0.75,0.25,1,81,1,4160,8960
10,11,0.25,44,1.04,0.25,1,79,1,4160,8960
11,13,0.27,57,0.75,0.25,1,85,1,4160,8960
2,8,,21,0.89,0.44,1,33,1,3249,7573
11,13,0.30,57,0.75,0.25,1,85,1,4160,8960
11,18,0.40,71,0.75,0.25,1,87,1,4160,8960
3,11,,54,1.44,0.49,1,13,1,2496,7140
11,18,0.42,72,0.75,0.25,1,88,1,4160,8960
11,20,0.54,82,0.75,0.25,1,89,1,4160,8960
11,20,0.57,85,0.75,0.25,1,91,1,4160,8960
11,20,0.65,93,0.75,0.25,1,91,1,4160,8960
11,20,0.67,93,0.75,0.25,1,91,1,4160,8960
12,9,0.28,31,0.75,0.50,1,102,1,2496,6720
12,12,0.49,38,0.75,0.50,1,104,1,2496,6720
12,10,0.34,42,0.75,0.50,1,102,1,2496,6720
6,7,,28,1.35,0.50,1,87,1,2496,6910
12,9,0.40,46,0.75,0.50,1,106,1,2496,6464
13,10,0.47,49,0.75,0.50,1,106,1,2496,5781
12,14,0.51,63,0.75,0.50,1,106,1,2496,6720
12,13,0.50,63,0.75,0.50,1,106,1,2496,6720
12,12,0.38,58,0.75,0.50,1,111,1,2496,6464
5,6,0.38,9,1.50,0.50,2,112,1,2496,6976
5,3,0.48,8,1.50,0.50,2,112,1,2496,6976
5,4,0.44,8,1.50,0.50,2,112,1,2496,6976
8,4,0.32,17,0.75,0.25,2,123,1,4160,8960
7,7,0.37,17,1.25,0.25,2,116,1,4480,8960
8,6,0.38,17,0.75,0.25,2,125,1,4160,8960
10,5,0.39,18,0.75,0.25,2,126,1,4160,8960
2,7,,23,1.03,0.49,1,9,1,2678,7332
11,3,0.28,8,0.75,0.50,2,127,1,2496,6720
6,9,,20,1.14,0.50,1,24,1,2496,6899
8,5,0.38,9,0.75,0.50,2,127,1,2496,6720
8,6,0.49,12,0.75,0.50,2,129,1,2496,6720
13,9,0.46,19,0.75,0.25,2,135,1,4160,8960
13,8,0.40,20,0.75,0.25,2,136,1,4160,8960
13,9,0.53,25,0.75,0.25,2,137,1,4160,8960
13,9,0.53,25,0.75,0.25,2,137,1,4160,8960
13,9,0.58,25,0.75,0.25,2,137,1,4160,8960
16,3,0.24,5,1.40,0.50,2,163,1,2496,6720
4,9,,25,1.14,0.50,1,26,1,2496,6846
12,7,0.35,51,0.75,0.50,1,150,1,2496,6464
13,8,0.45,38,0.75,0.50,2,150,1,2496,6464
15,3,0.38,7,1.50,0.25,2,157,1,4160,8960
15,5,0.40,12,1.50,0.25,2,158,1,4160,8960
15,4,0.42,12,1.50,0.25,2,158,1,4160,8960
7,7,0.43,25,0.76,0.25,2,116,1,4480,8960
16,4,0.24,5,1.50,0.50,2,164,1,2496,6720
2,8,,17,1.50,0.50,1,32,1,2496,6976
16,4,0.24,5,1.50,0.50,2,164,1,2496,6720
16,5,0.43,7,1.50,0.50,2,165,1,2496,6720
1,6,0.20,16,1.50,0.50,1,5,1,2496,6976
1,10,0.39,31,1.50,0.50,1,7,1,2496,6976
1,7,0.28,23,1.50,0.50,1,7,1,2496,6976
1,7,0.27,23,1.50,0.50,1,7,1,2496,6976
1,12,0.42,31,1.50,0.50,1,9,1,2496,6976
1,11,0.38,32,1.50,0.50,1,11,1,2496,6976
1,13,0.42,37,1.50,0.50,1,12,1,2496,6976
1,13,0.41,36,1.50,0.50,1,12,1,2496,6976
1,14,0.45,41,1.50,0.50,1,13,1,2496,6976
1,13,0.44,38,1.50,0.50,1,12,1,2496,6976
1,11,,29,1.50,0.50,1,9,1,2496,6976
1,13,0.42,50,1.11,0.50,1,23,1,2496,6976
2,9,0.26,39,0.75,0.50,1,25,1,2496,6976
2,10,0.27,39,0.75,0.50,1,25,1,2496,6976
2,13,0.44,72,0.75,0.42,1,31,1,3520,8172
1,14,0.46,48,1.25,0.50,1,23,1,2496,6976
2,13,0.45,57,0.75,0.50,1,28,1,2496,6976
1,15,0.41,48,1.00,0.50,1,22,1,2496,6976
2,11,0.43,56,0.75,0.49,1,28,1,3520,8058
3,10,0.23,47,0.75,0.25,1,38,1,3520,8960
3,7,0.20,34,0.75,0.25,1,36,1,3520,8960
3,16,0.41,70,0.75,0.25,1,41,1,4480,8960
3,9,0.24,49,0.75,0.25,1,38,1,3520,8960
4,7,0.32,27,1.43,0.25,1,49,1,4160,8960
4,11,0.47,41,1.18,0.25,1,47,1,4160,8960
7,8,0.25,23,0.75,0.25,1,115,1,4480,8960
3,15,0.47,71,0.75,0.25,1,43,1,4480,8960
3,16,0.49,70,0.75,0.25,1,43,1,4480,8960
10,5,0.23,21,1.50,0.25,1,64,1,4160,8960
4,4,0.40,22,1.50,0.25,1,49,1,4160,8960
4,4,0.38,23,1.50,0.25,1,49,1,4160,8960
10,6,0.41,28,1.50,0.25,1,62,1,4160,8960
4,5,0.35,25,1.50,0.25,1,49,1,4160,8960
11,7,0.25,31,0.86,0.50,1,92,1,2496,6720
11,7,0.27,29,0.84,0.50,1,96,1,2496,6720
9,7,0.31,31,1.50,0.50,1,58,1,2496,6720
9,7,0.46,35,1.50,0.50,1,58,1,2496,6720
4,4,0.34,23,1.50,0.25,1,50,1,4160,8960
10,7,0.44,38,1.50,0.25,1,67,1,4160,8960
10,7,0.39,27,1.50,0.25,1,66,1,4160,8960
10,7,0.41,27,1.50,0.25,1,67,1,4160,8960
11,11,0.26,45,0.80,0.25,1,82,1,4160,8960
10,10,0.26,45,1.07,0.25,1,79,1,4160,8960
11,13,0.26,51,0.75,0.25,1,83,1,4160,8960
11,12,0.20,40,0.75,0.25,1,81,1,4160,8960
1,8,,20,1.40,0.50,1,10,1,2647,7010
11,12,0.26,52,0.75,0.25,1,84,1,4160,8960
11,18,0.42,74,0.75,0.25,1,88,1,4160,8960
1,7,,40,1.47,0.50,1,16,1,2518,7085
11,18,0.41,74,0.75,0.25,1,88,1,4160,8960
11,20,0.59,85,0.75,0.25,1,91,1,4160,8960
11,21,0.59,93,0.75,0.25,1,91,1,4160,8960
11,20,0.59,88,0.75,0.25,1,91,1,4160,8960
11,21,0.65,93,0.75,0.25,1,91,1,4160,8960
12,7,0.24,29,0.86,0.50,1,97,1,2496,6720
12,10,0.26,35,0.75,0.50,1,101,1,2496,6720
12,13,0.46,61,0.75,0.50,1,105,1,2496,6720
3,7,,15,1.47,0.50,1,9,1,2496,6923
12,10,0.44,49,0.75,0.50,1,103,1,2496,6693
14,9,0.51,19,0.75,0.50,2,145,1,2496,6419
12,12,0.49,60,0.75,0.50,1,106,1,2496,6720
12,13,0.50,61,0.75,0.50,1,106,1,2496,6720
13,11,0.57,53,0.75,0.50,1,106,1,2496,6464
5,5,0.47,10,1.50,0.50,2,109,1,2496,6976
2,6,0.36,22,1.01,0.50,1,100,1,2496,6976
5,3,0.31,6,1.50,0.50,2,111,1,2496,6976
11,4,0.39,18,0.75,0.25,2,127,1,4160,8960
7,8,0.24,33,0.75,0.25,1,116,1,4480,8960
9,6,0.42,16,0.75,0.25,2,123,1,4160,8960
12,6,0.33,16,0.75,0.25,2,135,1,4160,8960
1,6,,16,1.36,0.50,1,6,1,2565,7289
11,3,0.31,9,0.75,0.50,2,127,1,2496,6720
3,9,,27,1.37,0.50,1,24,1,2496,6953
8,5,0.43,9,0.75,0.50,2,128,1,2496,6720
8,4,0.44,9,0.75,0.50,2,127,1,2496,6720
13,9,0.53,25,0.75,0.25,2,137,1,4160,8960
8,8,0.44,19,0.75,0.25,2,133,1,4160,8960
13,9,0.55,25,0.75,0.25,2,138,1,4160,8960
13,9,0.49,23,0.75,0.25,2,136,1,4160,8960
13,9,0.55,25,0.75,0.25,2,137,1,4160,8960
15,4,0.37,8,1.48,0.50,2,157,1,2496,6720
2,9,,25,1.38,0.50,1,12,1,2496,6961
12,12,0.38,57,0.75,0.50,1,108,1,2496,6464
14,8,0.41,27,0.75,0.50,2,150,1,2496,6464
15,4,0.42,12,1.39,0.25,2,157,1,4160,8960
15,4,0.38,13,1.47,0.25,2,158,1,4160,8960
15,5,0.32,11,1.50,0.25,2,158,1,4160,8960
6,8,0.48,46,0.77,0.25,2,90,1,4480,8960
16,5,0.40,8,1.50,0.50,2,165,1,2496,6720
2,7,,19,1.50,0.50,1,7,1,2496,6976
8,6,0.46,10,0.80,0.50,2,135,1,2496,6720
16,4,0.26,6,1.50,0.50,2,165,1,2496,6720
9,9,0.81,46,1.47,0.50,1,64,2,2113,6464
10,10,0.71,50,1.17,0.25,1,71,2,4475,8960
11,22,0.76,105,0.75,0.25,1,93,2,4160,8960
7,9,0.76,16,1.47,0.50,2,133,2,2496,6615
13,11,0.78,32,0.78,0.25,2,140,2,4160,8960
13,12,0.93,35,0.75,0.25,2,141,2,4160,8960
13,13,1.07,38,0.75,0.25,2,142,2,4160,8960
13,14,1.42,42,0.75,0.25,2,143,2,4160,8960
13,15,1.52,43,0.75,0.25,2,144,2,4160,8960
14,10,0.90,23,0.75,0.50,2,152,2,2496,6464
14,10,1.14,23,0.75,0.50,2,152,2,2496,6464
15,7,0.84,20,1.39,0.25,2,159,2,4160,8960
11,9,0.81,30,0.98,0.50,1,115,2,2299,6464
11,12,0.77,45,0.99,0.25,2,80,2,4335,8960
11,18,0.96,102,0.75,0.25,1,98,2,4160,8960
12,10,0.78,23,1.14,0.26,2,138,2,3511,8230
15,9,0.70,29,1.02,0.25,2,141,2,4160,8960
13,12,0.98,35,0.75,0.25,2,141,2,4160,8960
13,13,1.17,41,0.75,0.25,2,143,2,4160,8960
13,14,1.10,39,0.75,0.25,2,143,2,4160,8960
13,14,1.45,37,0.75,0.25,2,143,2,4160,8960
11,9,0.81,43,1.31,0.50,2,127,2,2156,6464
11,9,1.12,19,0.94,0.50,2,129,2,2496,6512
15,8,1.12,26,1.04,0.25,2,152,2,4160,8960
9,9,0.81,44,1.37,0.50,1,93,2,2133,6464
11,11,0.72,39,1.01,0.25,1,80,2,4335,8960
11,19,0.80,105,0.75,0.25,1,95,2,4160,8960
9,9,0.76,27,1.03,0.50,2,112,2,2369,6551
13,13,1.40,34,0.75,0.25,2,141,2,4160,8960
13,12,0.93,34,0.86,0.25,2,141,2,4160,8960
13,13,1.09,39,0.75,0.25,2,143,2,4160,8960
13,14,1.12,39,0.75,0.25,2,143,2,4160,8960
13,14,1.49,41,0.75,0.25,2,143,2,4160,8960
12,9,0.81,29,0.97,0.50,2,137,2,2324,6466
13,10,1.11,21,0.78,0.50,2,141,2,2496,6472
15,8,0.82,24,1.04,0.25,2,151,2,4160,8960
12,9,0.81,38,1.22,0.50,2,125,2,2201,6464
11,11,0.77,45,0.93,0.25,2,83,2,4334,8960
13,16,0.99,69,0.75,0.25,2,134,2,4160,8960
12,9,0.98,23,1.10,0.26,2,140,2,3560,8369
15,10,0.71,29,0.92,0.25,2,140,2,4160,8960
13,13,1.03,39,0.75,0.25,2,142,2,4160,8960
13,14,1.19,41,0.75,0.25,2,143,2,4160,8960
13,14,1.08,38,0.75,0.25,2,142,2,4160,8960
13,14,1.37,37,0.75,0.25,2,143,2,4160,8960
11,9,0.81,37,1.28,0.50,1,126,2,2164,6464
14,9,1.13,19,0.86,0.50,2,137,2,2496,6498
15,7,0.99,20,1.48,0.25,2,160,2,4160,8960
9,9,0.81,45,1.39,0.50,1,81,2,2123,6464
10,16,0.71,94,1.01,0.25,1,73,2,4335,8960
11,20,0.78,105,0.75,0.25,1,93,2,4160,8960
9,9,0.84,17,1.35,0.50,2,132,2,2496,6567
13,12,0.97,33,0.75,0.25,2,140,2,4160,8960
13,12,0.95,35,0.75,0.25,2,141,2,4160,8960
13,13,1.04,39,0.75,0.25,2,142,2,4160,8960
13,14,1.46,41,0.75,0.25,2,143,2,4160,8960
13,14,1.47,42,0.75,0.25,2,144,2,4160,8960
14,9,0.90,21,0.76,0.50,2,148,2,2496,6465
14,10,1.14,22,0.77,0.50,2,144,2,2496,6468
15,8,0.70,24,1.08,0.25,2,151,2,4160,8960
12,9,0.81,29,0.94,0.50,1,136,2,2307,6464
11,11,0.76,45,0.98,0.25,2,81,2,4334,8960
13,16,0.99,69,0.75,0.25,2,135,2,4160,8960
12,11,1.10,25,0.88,0.32,2,138,2,3515,8200
15,11,0.71,30,0.94,0.25,2,140,2,4160,8960
13,13,1.01,37,0.75,0.25,2,142,2,4160,8960
13,13,1.17,41,0.75,0.25,2,143,2,4160,8960
13,14,1.10,39,0.75,0.25,2,143,2,4160,8960
13,14,1.43,37,0.75,0.25,2,143,2,4160,8960
11,9,0.81,44,1.31,0.50,2,127,2,2155,6464
13,9,1.12,20,0.87,0.50,2,130,2,2496,6496
15,8,1.12,25,1.04,0.25,2,151,2,4160,8960
12,9,0.81,44,1.33,0.50,2,123,2,2154,6464
13,11,0.83,37,0.91,0.25,2,136,2,4208,8960
11,19,0.89,104,0.75,0.25,1,98,2,4160,8960
9,9,0.77,29,1.02,0.50,2,112,2,2342,6536
13,13,1.11,35,0.75,0.25,2,141,2,4160,8960
13,12,0.93,34,0.84,0.25,2,141,2,4160,8960
13,13,1.08,39,0.75,0.25,2,143,2,4160,8960
13,14,1.12,39,0.75,0.25,2,143,2,4160,8960
13,14,1.15,40,0.75,0.25,2,143,2,4160,8960
12,9,0.81,38,1.25,0.50,2,128,2,2183,6464
13,9,1.12,19,0.89,0.50,2,130,2,2496,6496
15,8,0.82,24,1.09,0.25,2,154,2,4160,8960
12,9,0.81,29,0.94,0.50,2,136,2,2316,6464
13,12,1.05,59,0.86,0.25,2,119,2,4174,8960
13,15,1.25,50,0.75,0.25,2,135,2,4160,8960
13,10,0.79,27,1.08,0.25,2,140,2,3952,8369
14,12,0.85,33,0.91,0.25,2,140,2,4160,8960
13,13,1.05,39,0.75,0.25,2,142,2,4160,8960
13,14,1.19,41,0.75,0.25,2,143,2,4160,8960
13,13,1.08,38,0.75,0.25,2,142,2,4160,8960
13,14,1.29,38,0.75,0.25,2,142,2,4160,8960
12,9,0.81,37,1.26,0.50,2,126,2,2172,6464
11,9,1.03,19,1.23,0.50,2,135,2,2494,6534
15,7,1.00,25,1.09,0.25,2,159,2,4160,8960
9,9,0.81,45,1.42,0.50,1,72,2,2117,6464
11,11,0.73,47,1.03,0.25,1,79,2,4424,8960
11,21,0.77,105,0.75,0.25,1,93,2,4160,8960
8,9,0.79,17,1.42,0.50,2,127,2,2496,6592
13,11,0.94,32,0.75,0.25,2,140,2,4160,8960
13,12,1.07,35,0.75,0.25,2,141,2,4160,8960
13,13,1.06,39,0.75,0.25,2,142,2,4160,8960
13,14,1.45,41,0.75,0.25,2,143,2,4160,8960
13,15,1.52,43,0.75,0.25,2,144,2,4160,8960
14,10,0.92,22,0.76,0.50,2,150,2,2496,6464
14,10,1.12,23,0.76,0.50,2,150,2,2496,6464
15,7,0.83,22,1.32,0.25,2,155,2,4160,8960
12,9,0.81,29,0.93,0.50,2,132,2,2304,6464
11,11,0.76,45,1.00,0.25,1,80,2,4335,8960
11,20,0.86,103,0.75,0.25,1,95,2,4160,8960
13,10,0.74,24,1.08,0.26,2,138,2,3562,8320
15,10,0.70,29,1.01,0.25,2,141,2,4160,8960
13,13,0.99,37,0.75,0.25,2,141,2,4160,8960
13,13,1.17,41,0.75,0.25,2,143,2,4160,8960
13,14,1.11,39,0.75,0.25,2,143,2,4160,8960
13,14,1.38,37,0.75,0.25,2,143,2,4160,8960
11,9,0.81,41,1.31,0.50,2,126,2,2156,6464
12,9,1.12,19,0.89,0.50,2,129,2,2496,6501
15,8,1.12,25,1.04,0.25,2,152,2,4160,8960
9,9,0.81,44,1.40,0.50,1,85,2,2123,6464
11,11,0.76,48,1.00,0.25,1,75,2,4335,8960
11,19,0.89,104,0.75,0.25,1,96,2,4160,8960
9,9,0.77,29,0.98,0.50,2,114,2,2347,6533
13,13,1.29,34,0.75,0.25,2,141,2,4160,8960
13,12,0.93,34,0.89,0.25,2,141,2,4160,8960
13,14,1.10,39,0.75,0.25,2,143,2,4160,8960
13,14,1.12,39,0.75,0.25,2,143,2,4160,8960
13,13,1.21,41,0.75,0.25,2,143,2,4160,8960
11,9,0.81,29,1.00,0.50,2,130,2,2328,6476
